Date,Fe,Al,Pb,Fe%,Al%,Pb%,PM,Site,Data/sample_measurement
9/3/2020,0.151,0.061,-0.003,2.435483871,0.983870968,-0.048387097,6.2,HU,7.6
9/3/2020,0.062,0.0162,-0.001,NA,NA,NA,NA,ES,6.8
9/6/2020,0.045,0.042,-0.002,0.671641791,0.626865672,-0.029850746,6.7,HU,5.7
9/6/2020,0.026,0.01193,0.002,0.329113924,0.151012658,0.025316456,7.9,ES,14.2
9/9/2020,0.064,0.012,0.004,1.361702128,0.255319149,0.085106383,4.7,HU,3.4
9/9/2020,0.027,0.01404,0.001,NA,NA,NA,NA,ES,10
9/12/2020,0.017,0.004,-0.001,0.386363636,0.090909091,-0.022727273,4.4,HU,6.1
9/12/2020,0.02,0.01259,0,0.377358491,0.23754717,0,5.3,ES,27.1
9/15/2020,0.047,0.015,-0.003,1.807692308,0.576923077,-0.115384615,2.6,HU,9.9
9/15/2020,0.048,0.01202,0.007,NA,NA,NA,NA,ES,2.2
9/18/2020,0.031,0.0124,-0.002,0.382716049,0.15308642,-0.024691358,8.1,ES,1.9
9/18/2020,0.038,0.028,0,0.493506494,0.363636364,0,7.7,HU,7.3
9/21/2020,0.11,0.015,0.005,3.142857143,0.428571429,0.142857143,3.5,HU,4.5
9/21/2020,0.029,0.01213,0.004,NA,NA,NA,NA,ES,8.3
9/24/2020,0.237,0.01423,0.005,1.942622951,0.116639344,0.040983607,12.2,ES,9.2
9/24/2020,0.228,0.018,0.006,2.375,0.1875,0.0625,9.6,HU,7.7
9/27/2020,0.018,-0.022,0.006,0.529411765,-0.647058824,0.176470588,3.4,HU,1.4
9/27/2020,0.025,0.01255,0.004,NA,NA,NA,NA,ES,5.8
9/30/2020,0.029,-0.016,0.006,0.966666667,-0.533333333,0.2,3,HU,7.8
9/30/2020,0.024,0.01223,0.01,0.705882353,0.359705882,0.294117647,3.4,ES,6.2
10/3/2020,0.062,0.033,-0.008,1.771428571,0.942857143,-0.228571429,3.5,HU,3.7
10/3/2020,0.057,0.01263,0.005,NA,NA,NA,NA,ES,3.9
10/6/2020,0.092,0.01284,-0.002,1.179487179,0.164615385,-0.025641026,7.8,ES,12
10/6/2020,0.213,0.121,0.003,3.042857143,1.728571429,0.042857143,7,HU,4.7
10/9/2020,0.113,0.018,-0.001,2.568181818,0.409090909,-0.022727273,4.4,HU,8.2
10/9/2020,0.096,0.01216,0.003,NA,NA,NA,NA,ES,3.6
10/12/2020,0.007,0.01196,-0.004,0.583333333,0.996666667,-0.333333333,1.2,ES,4.8
10/12/2020,0.012,-0.004,0.004,1.5,-0.5,0.5,0.8,HU,5.6
10/15/2020,0.044,0,0.009,0.602739726,0,0.123287671,7.3,HU,6.5
10/15/2020,0.046,0.01172,-0.005,NA,NA,NA,NA,ES,7.5
10/18/2020,0.041,0.01186,0.004,0.471264368,0.136321839,0.045977011,8.7,ES,
10/18/2020,0.026,-0.012,0.008,0.464285714,-0.214285714,0.142857143,5.6,HU,
10/21/2020,0.035,-0.002,0.004,0.625,-0.035714286,0.071428571,5.6,HU,
10/21/2020,0.066,0.01176,0.013,NA,NA,NA,NA,ES,
10/24/2020,0.016,-0.013,-0.002,0.421052632,-0.342105263,-0.052631579,3.8,HU,
10/24/2020,0.015,0.01173,0.002,0.288461538,0.225576923,0.038461538,5.2,ES,
10/27/2020,0.084,0.037,-0.005,1.4,0.616666667,-0.083333333,6,HU,
10/27/2020,0.056,0.0119,0.004,NA,NA,NA,NA,ES,
10/30/2020,0.031,0.017,0,2.583333333,1.416666667,0,1.2,HU,
10/30/2020,0.016,0.01183,0.002,0.516129032,0.381612903,0.064516129,3.1,ES,
11/2/2020,0.039,0.017,0,2.4375,1.0625,0,1.6,HU,
11/2/2020,0.044,0.0141,0,NA,NA,NA,NA,ES,
11/5/2020,0.11,0.01417,0.014,0.814814815,0.104962963,0.103703704,13.5,ES,
11/5/2020,0.101,-0.015,0.006,NA,NA,NA,NA,HU,
11/8/2020,0.175,0.0141,0.005,NA,NA,NA,NA,ES,
11/8/2020,0.062,0.001,0.008,NA,NA,NA,NA,HU,
11/11/2020,0.046,0.01458,0.002,1.243243243,0.394054054,0.054054054,3.7,ES,
11/11/2020,0.03,-0.028,0.006,0.909090909,-0.848484848,0.181818182,3.3,HU,
11/14/2020,0.085,0.01,0.009,1.25,0.147058824,0.132352941,6.8,HU,
11/14/2020,0.065,0.01412,0.011,NA,NA,NA,NA,ES,
11/17/2020,0.079,0.016,-0.001,3.038461538,0.615384615,-0.038461538,2.6,HU,
11/17/2020,0.052,0.01409,0.005,1.368421053,0.370789474,0.131578947,3.8,ES,
11/20/2020,0.104,0.035,0.01,1.283950617,0.432098765,0.12345679,8.1,HU,
11/20/2020,0.115,0.0154,0.006,NA,NA,NA,NA,ES,
11/23/2020,0.025,0.01411,-0.002,0.431034483,0.243275862,-0.034482759,5.8,ES,
11/23/2020,0.082,0.012,-0.001,1.744680851,0.255319149,-0.021276596,4.7,HU,
11/26/2020,0.034,0.029,-0.002,0.653846154,0.557692308,-0.038461538,5.2,HU,
11/26/2020,0.043,0.01441,-0.001,NA,NA,NA,NA,ES,
11/29/2020,0.049,0.01446,0.004,0.398373984,0.117560976,0.032520325,12.3,ES,
11/29/2020,0.043,0.041,0.003,0.623188406,0.594202899,0.043478261,6.9,HU,
11/29/2020,,,,,,,7.6,BM,
11/26/2020,,,,,,,6.8,BM,
11/23/2020,,,,,,,5.7,BM,
11/20/2020,,,,,,,14.2,BM,
11/17/2020,,,,,,,3.4,BM,
11/14/2020,,,,,,,10,BM,
11/11/2020,,,,,,,6.1,BM,
11/8/2020,,,,,,,27.1,BM,
11/5/2020,,,,,,,9.9,BM,
11/2/2020,,,,,,,2.2,BM,
10/30/2020,,,,,,,1.9,BM,
10/27/2020,,,,,,,7.3,BM,
10/24/2020,,,,,,,4.5,BM,
10/21/2020,,,,,,,8.3,BM,
10/18/2020,,,,,,,9.2,BM,
10/15/2020,,,,,,,7.7,BM,
10/12/2020,,,,,,,1.4,BM,
10/9/2020,,,,,,,5.8,BM,
10/6/2020,,,,,,,7.8,BM,
10/3/2020,,,,,,,6.2,BM,
9/30/2020,,,,,,,3.7,BM,
9/27/2020,,,,,,,3.9,BM,
9/24/2020,,,,,,,12,BM,
9/21/2020,,,,,,,4.7,BM,
9/18/2020,,,,,,,8.2,BM,
9/15/2020,,,,,,,3.6,BM,
9/12/2020,,,,,,,4.8,BM,
9/9/2020,,,,,,,5.6,BM,
9/6/2020,,,,,,,6.5,BM,
9/3/2020,,,,,,,7.5,BM,
